,id,type
885,FUN_021014,gene
886,FUN_019347,gene
887,FUN_019554,gene
888,FUN_019598,gene
889,FUN_020852,gene
890,FUN_020853,gene
891,FUN_022544,gene
892,FUN_022617,gene
893,FUN_022632,gene
894,FUN_022644,gene
895,FUN_022682,gene
896,FUN_022767,gene
897,FUN_022770,gene
898,FUN_022771,gene
899,FUN_022777,gene
900,FUN_022043,gene
901,FUN_022135,gene
902,FUN_022160,gene
903,FUN_022195,gene
904,FUN_022237,gene
905,FUN_022295,gene
906,FUN_022310,gene
907,FUN_022346,gene
908,FUN_022356,gene
909,FUN_022393,gene
910,FUN_022416,gene
911,FUN_021112,gene
912,FUN_022486,gene
913,FUN_022519,gene
914,FUN_023621,gene
915,FUN_023647,gene
916,FUN_022949,gene
917,FUN_022962,gene
918,FUN_022978,gene
919,FUN_023076,gene
920,FUN_022826,gene
921,FUN_023155,gene
922,FUN_023156,gene
923,FUN_023238,gene
924,FUN_023255,gene
925,FUN_023368,gene
926,FUN_023380,gene
927,FUN_023416,gene
928,FUN_023420,gene
929,FUN_023500,gene
930,FUN_023507,gene
931,FUN_022869,gene
932,FUN_023558,gene
933,FUN_022876,gene
934,FUN_024769,gene
935,FUN_024778,gene
936,FUN_024922,gene
937,FUN_024927,gene
938,FUN_024932,gene
939,FUN_024945,gene
940,FUN_024946,gene
941,FUN_023921,gene
942,FUN_025109,gene
943,FUN_025116,gene
944,FUN_024111,gene
945,FUN_024209,gene
946,FUN_024280,gene
947,FUN_024310,gene
948,FUN_024387,gene
949,FUN_023971,gene
950,FUN_024566,gene
951,FUN_024615,gene
952,FUN_025303,gene
953,FUN_025371,gene
954,FUN_025412,gene
955,FUN_025557,gene
956,FUN_025670,gene
957,FUN_025685,gene
958,FUN_025692,gene
959,FUN_025699,gene
960,FUN_025700,gene
961,FUN_025701,gene
962,FUN_025220,gene
963,FUN_026538,gene
964,FUN_026711,gene
965,FUN_025850,gene
966,FUN_025859,gene
967,FUN_025860,gene
968,FUN_025887,gene
969,FUN_025732,gene
970,FUN_026002,gene
971,FUN_025748,gene
972,FUN_025763,gene
973,FUN_026177,gene
974,FUN_026283,gene
975,FUN_025810,gene
976,FUN_025812,gene
977,FUN_025821,gene
978,FUN_026492,gene
979,FUN_027902,gene
980,FUN_027953,gene
981,FUN_028005,gene
982,FUN_028041,gene
983,FUN_028047,gene
984,FUN_028051,gene
985,FUN_028063,gene
986,FUN_028075,gene
987,FUN_028078,gene
988,FUN_028109,gene
989,FUN_028143,gene
990,FUN_028181,gene
991,FUN_028193,gene
992,FUN_028227,gene
993,FUN_028272,gene
994,FUN_028314,gene
995,FUN_028471,gene
996,FUN_028488,gene
997,FUN_028489,gene
998,FUN_028494,gene
999,FUN_028503,gene
1000,FUN_028508,gene
1001,FUN_027285,gene
1002,FUN_027529,gene
1003,FUN_027533,gene
1004,FUN_027561,gene
1005,FUN_028795,gene
1006,FUN_028840,gene
1007,FUN_028843,gene
1008,FUN_028971,gene
1009,FUN_028974,gene
1010,FUN_029085,gene
1011,FUN_029139,gene
1012,FUN_029171,gene
1013,FUN_029175,gene
1014,FUN_029260,gene
1015,FUN_030659,gene
1016,FUN_030668,gene
1017,FUN_030716,gene
1018,FUN_029404,gene
1019,FUN_029424,gene
1020,FUN_031206,gene
1021,FUN_031231,gene
1022,FUN_031234,gene
1023,FUN_031409,gene
1024,FUN_031491,gene
1025,FUN_031495,gene
1026,FUN_031522,gene
1027,FUN_029472,gene
1028,FUN_029475,gene
1029,FUN_031593,gene
1030,FUN_031637,gene
1031,FUN_031646,gene
1032,FUN_031669,gene
1033,FUN_031783,gene
1034,FUN_031860,gene
1035,FUN_031878,gene
1036,FUN_031950,gene
1037,FUN_031975,gene
1038,FUN_032003,gene
1039,FUN_032052,gene
1040,FUN_032063,gene
1041,FUN_032074,gene
1042,FUN_032098,gene
1043,FUN_032103,gene
1044,FUN_032117,gene
1045,FUN_032130,gene
1046,FUN_032139,gene
1047,FUN_032155,gene
1048,FUN_032167,gene
1049,FUN_032179,gene
1050,FUN_032194,gene
1051,FUN_032271,gene
1052,FUN_032288,gene
1053,FUN_032299,gene
1054,FUN_032325,gene
1055,FUN_032340,gene
1056,FUN_032452,gene
1057,FUN_032453,gene
1058,FUN_032461,gene
1059,FUN_032575,gene
1060,FUN_032703,gene
1061,FUN_032709,gene
1062,FUN_033350,gene
1063,FUN_029319,gene
1064,FUN_029725,gene
1065,FUN_029335,gene
1066,FUN_030030,gene
1067,FUN_033831,gene
1068,FUN_033681,gene
1069,FUN_033943,gene
1070,FUN_033944,gene
1071,FUN_034012,gene
1072,FUN_034050,gene
1073,FUN_034055,gene
1074,FUN_034059,gene
1075,FUN_034091,gene
1076,FUN_034100,gene
1077,FUN_033700,gene
1078,FUN_033701,gene
1079,FUN_034165,gene
1080,FUN_033709,gene
1081,FUN_034189,gene
1082,FUN_034191,gene
1083,FUN_034192,gene
1084,FUN_034194,gene
1085,FUN_034217,gene
1086,FUN_034268,gene
1087,FUN_034338,gene
1088,FUN_034375,gene
1089,FUN_034451,gene
1090,FUN_034489,gene
1091,FUN_035679,gene
1092,FUN_035743,gene
1093,FUN_035804,gene
1094,FUN_035820,gene
1095,FUN_035823,gene
1096,FUN_035831,gene
1097,FUN_035883,gene
1098,FUN_035888,gene
1099,FUN_035895,gene
1100,FUN_035930,gene
1101,FUN_036171,gene
1102,FUN_036181,gene
1103,FUN_036185,gene
1104,FUN_034783,gene
1105,FUN_036251,gene
1106,FUN_036258,gene
1107,FUN_036471,gene
1108,FUN_036506,gene
1109,FUN_034957,gene
1110,FUN_034983,gene
1111,FUN_034984,gene
1112,FUN_035010,gene
1113,FUN_035089,gene
1114,FUN_035101,gene
1115,FUN_034825,gene
1116,FUN_035202,gene
1117,FUN_034826,gene
1118,FUN_035263,gene
1119,FUN_035275,gene
1120,FUN_035311,gene
1121,FUN_035443,gene
1122,FUN_034848,gene
1123,FUN_034857,gene
1124,FUN_035522,gene
1125,FUN_035526,gene
1126,FUN_035549,gene
1127,FUN_035578,gene
1128,FUN_034779,gene
1129,FUN_035609,gene
1130,FUN_037485,gene
1131,FUN_037493,gene
1132,FUN_037686,gene
1133,FUN_037707,gene
1134,FUN_037708,gene
1135,FUN_037739,gene
1136,FUN_037793,gene
1137,FUN_037806,gene
1138,FUN_036749,gene
1139,FUN_037837,gene
1140,FUN_037843,gene
