,id,type
560,FUN_035024,gene
561,FUN_035033,gene
562,FUN_035045,gene
563,FUN_035081,gene
564,FUN_035083,gene
565,FUN_035105,gene
566,FUN_035107,gene
567,FUN_035114,gene
568,FUN_035132,gene
569,FUN_035166,gene
570,FUN_034834,gene
571,FUN_035281,gene
572,FUN_035329,gene
573,FUN_035333,gene
574,FUN_035356,gene
575,FUN_035369,gene
576,FUN_035476,gene
577,FUN_035511,gene
578,FUN_035523,gene
579,FUN_035558,gene
580,FUN_035592,gene
581,FUN_037499,gene
582,FUN_037524,gene
583,FUN_037567,gene
584,FUN_037590,gene
585,FUN_037724,gene
586,FUN_037818,gene
587,FUN_036953,gene
588,FUN_036956,gene
589,FUN_036988,gene
590,FUN_036991,gene
591,FUN_036992,gene
592,FUN_037011,gene
593,FUN_037013,gene
594,FUN_037030,gene
595,FUN_037084,gene
596,FUN_037139,gene
597,FUN_037325,gene
598,FUN_037360,gene
599,FUN_036715,gene
600,FUN_038727,gene
601,FUN_038991,gene
602,FUN_039082,gene
603,FUN_039085,gene
604,FUN_038050,gene
605,FUN_038102,gene
606,FUN_038212,gene
607,FUN_038258,gene
608,FUN_038281,gene
609,FUN_038354,gene
610,FUN_038364,gene
611,FUN_038418,gene
612,FUN_038449,gene
613,FUN_038450,gene
614,FUN_038496,gene
615,FUN_037958,gene
616,FUN_038621,gene
617,FUN_038651,gene
618,FUN_039303,gene
619,FUN_040678,gene
620,FUN_039782,gene
621,FUN_040829,gene
622,FUN_039783,gene
623,FUN_039786,gene
624,FUN_039898,gene
625,FUN_039787,gene
626,FUN_040002,gene
627,FUN_040025,gene
628,FUN_039808,gene
629,FUN_040031,gene
630,FUN_040048,gene
631,FUN_040059,gene
632,FUN_040140,gene
633,FUN_039819,gene
634,FUN_040141,gene
635,FUN_040265,gene
636,FUN_040296,gene
637,FUN_040307,gene
638,FUN_040401,gene
639,FUN_040472,gene
640,FUN_041168,gene
641,FUN_041183,gene
642,FUN_041016,gene
643,FUN_041414,gene
644,FUN_041495,gene
645,FUN_041540,gene
646,FUN_041662,gene
647,FUN_041701,gene
648,FUN_041702,gene
649,FUN_041753,gene
650,FUN_041800,gene
651,FUN_041833,gene
652,FUN_041874,gene
653,FUN_041878,gene
654,FUN_041882,gene
655,FUN_042023,gene
656,FUN_042168,gene
657,FUN_042251,gene
658,FUN_042266,gene
659,FUN_042082,gene
660,FUN_042402,gene
661,FUN_042416,gene
662,FUN_042480,gene
663,FUN_042098,gene
664,FUN_042779,gene
665,FUN_043574,gene
666,FUN_043583,gene
667,FUN_043602,gene
668,FUN_043609,gene
669,FUN_043615,gene
670,FUN_042888,gene
671,FUN_042904,gene
672,FUN_042923,gene
673,FUN_042798,gene
674,FUN_042989,gene
675,FUN_043002,gene
676,FUN_043004,gene
677,FUN_043009,gene
678,FUN_043021,gene
679,FUN_043236,gene
680,FUN_043271,gene
681,FUN_043368,gene
682,FUN_043436,gene
683,FUN_043543,gene
684,FUN_043548,gene
685,FUN_044124,gene
686,FUN_044127,gene
687,FUN_044131,gene
688,FUN_044233,gene
689,FUN_001301,gene
690,FUN_001425,gene
691,FUN_001467,gene
692,FUN_001520,gene
693,FUN_001532,gene
694,FUN_001657,gene
695,FUN_001787,gene
696,FUN_001855,gene
697,FUN_001887,gene
698,FUN_001888,gene
699,FUN_001921,gene
700,FUN_001948,gene
701,FUN_002115,gene
702,FUN_002197,gene
703,FUN_000483,gene
704,FUN_000534,gene
705,FUN_000584,gene
706,FUN_000614,gene
707,FUN_000872,gene
708,FUN_000880,gene
709,FUN_000961,gene
710,FUN_001006,gene
711,FUN_001157,gene
712,FUN_001169,gene
713,FUN_003620,gene
714,FUN_003719,gene
715,FUN_003803,gene
716,FUN_003846,gene
717,FUN_003900,gene
718,FUN_004007,gene
719,FUN_004024,gene
720,FUN_004040,gene
721,FUN_004060,gene
722,FUN_002468,gene
723,FUN_004171,gene
724,FUN_004289,gene
725,FUN_004306,gene
726,FUN_004333,gene
727,FUN_004340,gene
728,FUN_004350,gene
729,FUN_004511,gene
730,FUN_004525,gene
731,FUN_004690,gene
732,FUN_004693,gene
733,FUN_004766,gene
734,FUN_004767,gene
735,FUN_004832,gene
736,FUN_004903,gene
737,FUN_004904,gene
738,FUN_004907,gene
739,FUN_004984,gene
740,FUN_005154,gene
741,FUN_005158,gene
742,FUN_005232,gene
743,FUN_005315,gene
744,FUN_005343,gene
745,FUN_005348,gene
746,FUN_003166,gene
747,FUN_006425,gene
748,FUN_006480,gene
749,FUN_006621,gene
750,FUN_006776,gene
751,FUN_006898,gene
752,FUN_006917,gene
753,FUN_006930,gene
754,FUN_006933,gene
755,FUN_006988,gene
756,FUN_007066,gene
757,FUN_007101,gene
758,FUN_007153,gene
759,FUN_006008,gene
760,FUN_006018,gene
761,FUN_006039,gene
762,FUN_006225,gene
763,FUN_006228,gene
764,FUN_008435,gene
765,FUN_008484,gene
766,FUN_008490,gene
767,FUN_008537,gene
768,FUN_008583,gene
769,FUN_008604,gene
770,FUN_008700,gene
771,FUN_007705,gene
772,FUN_007860,gene
773,FUN_008020,gene
774,FUN_008258,gene
775,FUN_009862,gene
776,FUN_009022,gene
777,FUN_008909,gene
778,FUN_009363,gene
779,FUN_009464,gene
780,FUN_008953,gene
781,FUN_009522,gene
782,FUN_008961,gene
783,FUN_009654,gene
784,FUN_010484,gene
785,FUN_010642,gene
786,FUN_010683,gene
787,FUN_010792,gene
788,FUN_010838,gene
789,FUN_010843,gene
790,FUN_010577,gene
791,FUN_010879,gene
792,FUN_010893,gene
793,FUN_010985,gene
794,FUN_011048,gene
795,FUN_011050,gene
796,FUN_011276,gene
797,FUN_012698,gene
798,FUN_012767,gene
799,FUN_012787,gene
800,FUN_013078,gene
801,FUN_013079,gene
802,FUN_013133,gene
803,FUN_013135,gene
804,FUN_013160,gene
805,FUN_011850,gene
806,FUN_013329,gene
807,FUN_013420,gene
808,FUN_013464,gene
809,FUN_011893,gene
810,FUN_012001,gene
811,FUN_011710,gene
812,FUN_011716,gene
813,FUN_012138,gene
814,FUN_012139,gene
815,FUN_012241,gene
816,FUN_012251,gene
817,FUN_012287,gene
818,FUN_012306,gene
819,FUN_012327,gene
820,FUN_012341,gene
821,FUN_011741,gene
822,FUN_012430,gene
823,FUN_015429,gene
824,FUN_015541,gene
825,FUN_014437,gene
826,FUN_014613,gene
827,FUN_014695,gene
828,FUN_014730,gene
829,FUN_014731,gene
830,FUN_014748,gene
831,FUN_014753,gene
832,FUN_014890,gene
833,FUN_014951,gene
834,FUN_014967,gene
835,FUN_014973,gene
836,FUN_015036,gene
837,FUN_015145,gene
838,FUN_015192,gene
839,FUN_015245,gene
840,FUN_015258,gene
841,FUN_015323,gene
842,FUN_015354,gene
843,FUN_015365,gene
844,FUN_015989,gene
845,FUN_016006,gene
846,FUN_016014,gene
847,FUN_016037,gene
848,FUN_016284,gene
849,FUN_016329,gene
850,FUN_016333,gene
851,FUN_016408,gene
852,FUN_016421,gene
853,FUN_016432,gene
854,FUN_016609,gene
855,FUN_016662,gene
856,FUN_016671,gene
857,FUN_016992,gene
858,FUN_017843,gene
859,FUN_018537,gene
860,FUN_017757,gene
861,FUN_017940,gene
862,FUN_018007,gene
863,FUN_018014,gene
864,FUN_018017,gene
865,FUN_018265,gene
866,FUN_018430,gene
867,FUN_019559,gene
868,FUN_022566,gene
869,FUN_022581,gene
870,FUN_022604,gene
871,FUN_022787,gene
872,FUN_022067,gene
